type	width	height
2	5	10
2	2	9
2	3	8
2	5	7
1	8	1
2	3	7
1	7	4
2	4	10
2	3	6
2	1	8
2	3	8
2	5	10
2	5	10
2	1	7
2	3	7
2	4	9
2	3	7
2	3	9
2	5	7
3	7	10
2	5	8
4	5	1
2	2	8
1	7	3
2	5	10
1	8	3
2	2	8
2	5	8
2	4	10
2	2	6
4	1	3
1	9	3
2	4	7
3	8	10
2	2	8
2	1	7
4	4	3
3	10	6
2	5	8
2	2	7
2	3	8
2	3	10
4	1	3
2	3	9
3	10	5
2	1	7
2	2	8
1	9	3
2	5	10
3	6	9
2	1	10
2	1	7
2	1	8
2	3	6
4	2	1
2	2	9
2	5	9
2	3	8
2	5	9
2	5	7
1	9	3
2	3	9
2	1	9
2	4	9
2	5	7
2	4	10
2	2	10
2	1	9
1	9	1
2	1	10
2	2	8
2	2	7
2	3	7
2	2	6
2	5	8
2	4	10
2	3	9
4	2	5
2	5	10
2	2	10
2	5	8
2	4	7
3	8	8
2	4	7
2	3	10
2	5	9
2	2	7
1	7	1
2	2	7
4	4	4
2	2	8
2	3	7
2	3	10
2	1	8
2	2	8
2	1	9
4	3	2
2	4	6
2	3	9
2	4	7
