type	width	height
2	1	9
1	7	1
2	5	9
1	8	2
2	1	8
2	3	8
2	5	8
2	4	6
2	1	8
3	10	6
2	1	6
2	5	9
3	5	6
2	2	7
2	5	8
2	1	8
2	3	9
1	6	2
2	1	7
2	1	9
2	1	8
1	6	4
2	1	10
2	5	9
2	3	10
2	1	9
2	2	9
2	3	10
2	1	10
2	2	7
2	5	6
2	1	10
3	10	9
2	3	8
1	7	3
2	2	10
2	5	7
2	2	7
2	2	8
3	7	9
2	1	8
2	4	7
2	4	9
2	1	9
2	2	6
1	7	2
2	2	10
3	10	7
2	2	8
2	5	10
2	1	10
2	1	8
2	1	7
3	5	9
2	5	7
4	5	3
2	4	9
2	1	7
2	2	8
2	3	8
3	6	8
3	8	8
2	3	9
2	4	9
2	4	9
2	2	9
2	1	10
1	9	4
2	2	8
2	4	10
2	4	10
2	5	6
2	4	10
3	5	8
2	1	8
4	3	4
2	1	6
2	1	9
1	9	2
2	4	10
