type	width	height
2	1	8
2	3	7
2	5	9
4	3	3
1	6	1
2	5	9
2	5	10
1	6	3
2	5	8
4	3	5
2	1	10
2	3	10
2	4	7
2	3	8
2	3	7
3	8	5
2	3	8
4	1	2
1	7	4
2	2	7
2	1	10
4	1	2
4	5	4
2	2	9
2	3	6
2	5	7
2	1	7
2	1	8
2	5	7
2	5	10
2	1	6
2	4	9
2	2	7
4	3	5
3	5	6
2	5	9
3	5	7
4	1	4
2	5	6
2	2	7
2	5	10
2	1	7
1	9	2
1	7	2
1	7	1
2	1	10
2	4	8
2	4	7
1	7	4
3	9	6
2	2	10
2	3	10
1	6	3
3	7	10
2	4	9
2	3	10
2	1	7
3	10	9
2	4	8
3	5	5
3	10	5
2	2	10
3	5	6
2	4	8
3	9	8
2	4	8
2	2	10
2	5	10
2	1	9
2	5	9
2	4	7
2	5	8
4	5	2
2	1	9
4	4	3
2	1	10
2	2	9
2	3	8
1	9	4
2	4	8
