type	width	height
4	3	3
2	4	8
2	2	8
2	1	8
2	4	9
2	2	8
3	7	10
2	5	7
1	7	4
2	3	10
2	2	8
1	7	2
2	1	10
2	2	8
2	3	10
2	2	10
2	3	7
4	2	4
2	2	10
2	5	7
2	4	9
2	4	7
2	2	8
2	4	6
2	3	6
3	9	8
2	5	10
2	5	6
4	4	4
4	2	5
2	2	9
2	3	8
3	6	8
2	1	7
2	2	10
2	2	6
1	8	1
4	2	2
4	4	2
2	3	8
2	5	10
2	5	10
2	2	7
2	5	7
2	2	7
2	1	8
3	5	7
2	3	10
3	5	6
2	4	9
3	6	6
2	4	6
1	7	2
2	5	8
2	5	7
2	2	9
2	3	7
2	5	7
1	8	2
2	1	6
4	2	1
2	3	9
2	2	9
2	3	9
1	8	2
2	5	8
4	4	1
2	1	8
2	2	8
2	5	8
2	4	7
2	3	9
2	3	9
4	4	2
2	4	9
2	1	9
2	2	8
2	5	10
2	3	7
2	5	9
4	4	4
2	4	7
2	5	9
2	4	6
4	4	1
1	9	4
4	1	1
2	1	10
1	8	1
2	4	8
1	9	1
2	4	8
2	5	7
3	6	6
2	4	9
2	2	10
4	4	4
2	5	7
2	4	6
2	2	9
