type	width	height
2	3	10
2	4	10
2	4	8
2	2	7
1	8	3
2	4	9
2	2	10
2	5	10
3	8	10
1	9	2
2	5	9
3	10	9
2	1	10
2	4	7
2	4	10
2	3	8
2	4	9
2	5	7
2	1	7
2	5	8
2	4	9
2	3	8
3	5	9
2	5	7
3	8	5
2	2	7
2	2	7
2	3	10
3	5	9
4	4	2
2	3	8
2	4	8
4	1	1
4	3	1
2	1	6
4	2	1
4	1	3
2	1	8
2	1	9
1	7	2
2	4	10
2	2	8
2	2	7
2	4	8
2	3	9
4	5	5
3	10	7
3	10	10
3	7	5
3	7	9
2	5	7
2	4	10
2	3	9
1	8	1
2	4	10
2	1	7
2	1	8
2	2	10
3	9	8
2	4	9
2	3	9
2	5	10
2	4	10
2	3	10
2	2	7
3	10	7
2	3	8
2	2	9
2	3	7
2	5	7
3	9	7
2	4	9
3	5	7
2	3	7
1	9	1
2	5	8
2	3	7
2	5	7
1	6	1
2	4	8
4	1	3
2	1	9
2	4	10
4	1	1
2	1	10
2	4	10
3	8	6
2	2	6
2	5	9
1	7	1
4	5	1
2	4	9
2	3	8
2	5	10
2	1	9
2	4	8
4	1	1
2	2	9
2	2	7
2	2	8
2	5	10
2	5	6
3	7	6
2	4	10
4	5	3
2	4	8
2	5	6
2	3	6
3	5	8
2	4	8
2	5	9
2	5	7
2	3	10
2	3	8
2	1	10
2	3	8
2	1	10
4	4	5
2	4	9
1	7	2
4	2	3
2	4	7
1	8	1
2	4	9
2	2	10
3	7	7
2	3	9
1	8	3
2	2	9
4	3	1
2	4	7
2	5	9
2	2	8
3	5	7
3	5	9
2	3	9
1	6	4
2	3	8
2	5	6
2	3	8
2	5	10
2	1	6
2	1	6
4	4	1
2	3	6
2	1	7
2	3	8
2	2	6
1	7	3
2	1	8
