type	width	height
2	5	6
2	3	7
1	7	1
2	3	9
4	5	4
2	2	7
1	8	4
2	5	9
3	6	10
2	2	8
2	5	7
2	1	8
2	2	7
2	3	9
2	1	9
2	2	10
2	2	9
2	1	6
2	2	9
2	1	8
1	9	2
2	3	8
2	5	6
4	1	3
1	8	4
2	4	7
4	5	5
2	3	7
2	4	7
2	4	8
2	3	7
2	1	7
2	5	7
2	2	8
3	10	6
2	5	9
2	5	8
2	5	6
4	3	5
2	4	8
4	4	3
2	4	6
2	3	8
1	9	1
2	3	9
2	1	8
1	9	1
2	1	8
2	5	9
2	2	7
4	2	3
3	6	9
2	3	10
2	4	9
2	2	6
2	4	7
4	1	4
2	4	9
1	9	2
2	5	7
2	4	9
1	7	4
2	4	9
2	1	9
2	5	7
1	8	4
2	3	9
2	3	10
2	5	8
2	1	10
2	4	8
2	3	10
1	9	3
2	2	8
4	5	2
2	2	8
4	3	2
2	3	9
2	2	8
2	5	10
