type	width	height
2	3	10
2	4	9
2	3	10
2	4	10
2	5	7
2	5	7
2	2	8
1	9	2
2	2	8
2	5	9
4	5	1
2	2	10
2	1	7
2	2	7
2	2	8
4	5	1
2	1	10
2	3	9
2	1	8
2	2	10
2	2	9
2	2	8
2	4	8
3	9	5
2	3	9
2	2	8
2	5	10
2	3	10
4	1	4
4	4	4
2	4	8
2	1	9
2	4	10
3	9	10
2	4	7
4	5	2
2	2	8
2	1	8
2	5	7
4	1	3
2	2	7
2	3	8
2	1	7
3	8	6
2	1	8
2	2	8
2	3	7
2	4	8
2	5	9
3	8	5
2	1	8
2	2	9
4	3	4
2	3	7
2	3	9
3	7	9
1	8	2
2	2	8
2	1	8
2	4	10
2	4	10
2	2	10
2	3	7
2	1	10
2	2	9
1	9	2
2	4	8
2	1	7
2	2	8
4	1	2
4	1	5
2	1	9
2	4	6
2	4	7
2	4	9
3	9	10
2	2	7
2	4	8
1	9	3
2	5	7
1	9	1
4	3	5
2	5	9
2	3	9
2	5	7
2	2	10
2	3	10
2	1	8
2	5	7
2	5	6
2	4	9
2	1	9
2	1	10
2	1	8
2	3	8
4	2	4
3	8	7
2	1	10
2	4	10
2	3	7
