type	width	height
4	4	5
2	4	7
2	3	8
2	3	10
2	2	10
2	1	9
2	1	8
3	8	9
2	4	7
2	2	10
4	2	2
2	3	7
4	2	5
4	1	1
2	5	10
1	6	3
2	5	9
2	1	9
2	3	8
2	5	9
2	4	9
2	4	9
3	5	8
3	8	5
2	1	8
2	4	8
2	2	7
3	5	9
1	8	3
2	2	9
3	10	5
2	5	9
2	5	7
2	3	10
2	3	10
2	2	8
2	1	7
4	4	2
2	5	8
3	10	5
2	4	7
2	4	10
2	5	10
1	9	1
2	5	8
2	2	8
3	5	8
2	3	9
3	6	7
2	2	9
2	2	9
2	5	9
2	1	8
2	3	9
2	1	7
2	4	9
2	4	10
2	2	8
2	1	6
2	1	6
3	7	5
1	8	4
2	1	8
2	3	7
2	5	10
2	1	9
3	8	7
2	4	7
2	1	7
2	4	8
2	3	8
4	4	2
2	4	7
2	3	10
3	7	7
4	3	1
4	4	3
2	4	8
2	3	8
2	3	6
2	3	10
2	4	8
2	5	10
2	1	7
3	5	8
2	2	7
2	1	9
2	3	9
3	8	10
4	2	5
2	5	10
2	1	8
2	1	7
4	3	4
2	5	8
2	3	6
1	7	3
2	2	9
3	6	7
2	5	8
