type	width	height
2	4	8
2	3	8
2	4	9
2	3	9
2	5	7
2	5	9
2	1	9
2	5	8
2	5	8
2	3	7
2	5	7
2	4	9
2	2	7
1	7	2
1	7	3
2	5	8
1	9	3
2	3	10
3	9	10
2	4	8
2	3	10
2	5	9
2	4	9
3	9	7
2	2	10
3	8	10
1	6	1
2	4	9
2	2	9
3	6	10
4	4	5
2	5	7
4	5	3
2	1	7
2	4	10
2	3	7
2	4	10
2	1	8
3	10	10
1	7	4
2	2	10
3	6	10
4	1	5
2	3	6
4	2	4
2	1	10
3	5	9
1	7	1
2	5	10
2	5	7
1	8	3
2	2	10
2	3	9
2	2	10
1	7	1
2	4	10
2	1	8
1	8	1
2	2	8
3	6	5
1	9	3
2	1	9
4	2	1
2	4	9
4	4	3
2	3	6
2	4	7
2	4	8
2	5	7
2	3	9
1	8	1
2	4	6
2	3	10
1	8	3
2	3	10
2	2	9
2	5	10
2	1	8
2	4	9
4	4	4
