type	width	height
2	4	8
1	7	3
2	4	10
2	4	10
3	5	10
2	4	7
2	4	6
2	2	7
4	4	1
3	8	7
3	7	8
4	1	2
2	3	6
2	2	9
2	2	9
2	3	10
2	4	8
2	5	7
2	4	10
2	5	7
2	4	10
2	3	6
2	4	10
2	5	8
1	9	1
2	2	9
2	3	9
2	5	10
4	4	2
1	6	4
2	1	9
4	1	3
2	3	7
2	2	7
2	5	10
2	4	8
2	4	6
2	3	8
2	3	7
2	3	7
2	1	7
2	1	8
2	3	10
2	5	7
1	8	1
2	4	10
2	2	8
2	4	10
3	6	5
2	4	8
2	2	8
2	1	9
3	8	8
2	3	10
2	5	8
2	5	7
2	4	7
3	7	8
2	3	7
4	5	3
2	5	9
2	5	9
1	8	1
1	7	1
2	3	10
1	9	2
2	1	10
4	3	5
1	7	1
2	2	7
2	2	9
2	3	7
2	2	8
2	4	7
4	1	4
2	2	7
4	5	4
2	4	10
1	7	1
3	9	9
1	7	3
2	3	10
2	3	7
3	5	6
2	3	10
2	1	7
2	2	10
2	4	8
2	4	8
2	5	10
4	3	4
2	2	6
1	7	1
2	2	8
2	4	10
2	1	7
1	7	1
2	2	7
2	4	7
2	2	9
2	5	7
2	4	9
2	2	10
1	7	2
2	4	10
3	7	6
2	5	7
2	5	9
3	8	6
2	3	8
2	5	7
2	4	9
2	3	6
3	10	5
2	1	7
2	5	6
2	1	7
2	1	6
2	3	9
4	5	5
2	5	8
2	2	6
3	7	7
3	5	10
2	4	10
2	2	9
3	5	5
3	5	5
3	7	10
2	4	10
2	4	8
2	4	10
2	1	10
3	7	6
2	5	7
2	4	8
2	5	8
2	1	10
2	3	8
2	5	7
2	4	7
2	2	9
2	1	10
2	5	7
2	5	7
2	3	7
2	4	9
3	6	8
2	3	9
2	5	9
