type	width	height
3	7	7
3	10	7
2	3	10
2	4	9
2	3	10
4	3	3
3	9	7
2	3	7
2	4	10
2	5	10
2	1	10
2	1	9
2	2	9
2	3	8
2	5	7
2	1	10
2	1	6
2	2	10
2	5	10
3	6	8
3	5	6
2	3	7
2	5	8
3	10	10
2	4	6
2	1	9
2	5	10
2	1	8
2	5	8
2	3	7
2	3	9
1	8	3
2	5	7
2	5	7
2	3	8
2	3	10
3	5	10
2	4	10
2	1	7
2	2	9
4	2	3
1	7	1
2	3	9
2	1	7
2	5	10
2	2	7
2	3	10
4	4	1
2	5	10
2	1	8
1	7	1
3	7	7
2	4	8
1	8	3
2	3	9
2	4	8
2	4	10
3	7	5
1	9	3
2	5	6
3	9	5
2	4	9
2	1	9
4	5	4
2	5	6
2	5	9
2	5	8
2	2	7
3	7	6
3	7	7
1	6	2
2	1	9
2	5	9
2	2	7
2	3	10
3	7	6
2	2	7
2	3	9
2	5	9
2	4	7
1	7	2
4	5	4
3	10	10
2	2	8
2	3	7
4	3	5
3	10	5
4	3	2
2	2	9
3	6	8
3	7	9
1	7	2
2	1	9
2	2	9
2	4	10
2	3	9
2	4	10
2	5	7
2	2	8
2	1	8
