type	width	height
1	9	1
2	3	9
2	5	6
2	1	8
2	1	7
2	1	10
2	4	8
2	5	9
2	5	9
2	5	10
2	4	10
1	9	4
1	8	1
2	4	7
2	1	8
2	3	8
4	1	1
3	6	6
4	5	2
1	9	1
4	2	3
2	1	10
2	3	9
2	1	10
4	5	3
2	4	8
2	4	9
3	9	6
2	1	10
1	7	4
2	1	8
3	7	10
2	3	9
2	4	10
2	3	10
2	1	8
3	7	10
4	3	2
2	1	10
4	3	5
3	5	6
2	4	8
3	9	7
2	4	7
2	3	9
2	5	10
1	7	2
2	5	7
2	1	9
4	5	1
2	5	7
2	4	8
2	1	10
1	9	2
3	10	10
2	5	9
4	4	2
3	5	7
4	2	5
2	2	10
2	5	8
2	5	10
2	4	9
2	1	7
2	2	8
2	4	7
2	3	6
4	3	4
2	3	9
2	1	6
2	4	9
2	4	9
3	9	7
2	4	8
2	4	8
2	1	10
2	2	7
2	5	6
2	3	10
2	2	8
