type	width	height
1	9	2
4	1	1
1	7	3
4	5	2
4	4	3
4	3	5
3	9	6
2	2	8
4	2	5
4	5	4
4	2	2
4	2	3
4	4	4
3	6	10
4	5	2
3	10	10
3	5	8
4	3	2
4	1	2
4	2	1
4	5	2
4	1	4
4	4	5
4	5	2
4	3	5
1	7	1
4	4	1
4	5	1
4	4	2
2	2	10
2	3	10
4	1	4
2	2	9
4	5	2
4	1	5
4	4	1
4	1	4
4	1	3
4	5	5
4	3	3
4	2	5
2	5	8
2	2	9
4	4	2
4	3	5
4	2	3
4	4	1
4	3	1
1	8	2
4	2	5
3	5	8
2	2	7
2	4	7
4	5	3
3	9	10
4	3	2
4	2	4
4	3	2
4	4	4
4	4	1
4	4	2
4	5	5
2	1	7
4	1	4
4	1	1
4	5	3
1	8	3
4	3	1
4	4	2
4	2	1
4	1	3
1	7	3
4	1	4
3	9	6
3	9	10
4	3	2
4	3	4
4	4	4
4	3	1
2	4	9
4	5	4
4	4	3
4	1	5
4	3	3
4	2	1
4	2	1
4	4	4
4	2	2
4	2	1
4	1	2
4	2	2
4	5	5
4	2	2
3	5	7
2	4	8
1	9	4
4	1	3
4	3	5
4	1	3
4	5	4
