type	width	height
4	2	3
1	7	2
4	4	5
4	4	2
4	1	2
1	7	4
3	8	10
4	4	4
4	3	1
1	8	1
1	9	4
4	4	5
3	7	9
4	4	3
3	7	9
4	3	2
3	6	7
1	8	1
4	1	5
4	4	3
4	3	2
4	2	1
4	2	3
4	5	1
4	3	5
4	5	4
4	2	5
4	2	2
3	5	7
4	5	4
1	7	2
4	2	1
4	4	2
3	7	6
1	7	1
4	3	5
4	4	3
4	2	5
4	2	4
4	4	4
4	5	5
4	1	3
4	1	2
4	4	4
4	4	5
1	9	2
2	2	7
1	8	4
1	8	2
1	8	1
3	10	8
4	4	4
4	4	4
1	7	1
2	2	9
4	1	1
2	4	10
4	4	3
4	5	3
4	4	5
4	4	2
1	8	4
4	3	5
4	5	1
4	2	1
1	7	4
4	5	4
4	4	3
3	10	6
4	2	1
3	6	5
4	2	4
4	3	4
1	6	3
4	3	2
4	1	4
4	1	5
1	9	2
4	3	5
4	4	1
3	10	7
4	1	2
4	1	2
4	4	2
4	2	4
4	1	2
3	5	9
2	3	8
4	1	3
4	1	1
4	4	5
1	7	4
2	3	8
4	1	2
4	5	3
4	5	3
1	6	2
4	2	3
4	5	5
4	1	3
