type	width	height
2	5	10
4	1	3
4	1	2
2	1	7
4	2	5
4	5	3
4	1	3
4	1	5
4	1	1
4	3	3
2	3	7
1	9	4
4	2	5
4	1	5
4	4	1
4	3	1
4	5	2
3	6	8
4	3	5
4	3	4
2	3	7
4	3	2
4	3	3
3	7	8
4	1	2
4	5	4
3	7	9
4	3	1
4	4	3
2	4	6
4	1	5
4	4	3
4	4	5
4	2	3
4	3	5
4	3	1
4	3	2
4	5	4
4	2	3
4	4	4
2	3	9
3	7	9
3	10	9
4	2	4
4	3	4
4	3	1
4	5	3
3	6	9
3	9	9
4	1	1
4	2	4
4	1	5
2	3	9
4	1	2
4	4	4
4	4	3
4	2	2
4	4	1
4	1	5
4	1	3
3	8	5
3	7	9
3	10	5
4	2	1
1	9	2
4	1	1
4	3	2
4	1	3
3	8	8
4	5	2
3	9	7
4	5	5
4	3	4
4	1	3
4	2	3
1	7	4
4	3	4
4	3	2
2	1	9
4	1	5
