type	width	height
4	5	5
4	4	1
2	2	8
4	2	1
3	8	9
4	4	4
4	2	2
4	3	3
1	7	1
4	3	3
4	3	1
4	1	5
3	10	8
4	3	4
4	3	2
4	1	1
4	5	3
4	3	4
4	2	4
1	8	1
4	1	5
2	2	9
3	5	10
4	3	1
4	1	4
1	8	1
4	5	4
2	5	10
3	8	5
2	5	10
3	10	10
2	3	8
4	3	5
4	4	1
1	9	3
2	1	7
4	4	3
1	8	3
4	3	2
4	1	1
3	10	7
2	1	6
4	5	4
2	3	7
4	3	3
4	5	3
4	2	3
4	4	4
4	1	3
4	5	1
4	4	1
4	2	3
4	1	4
4	1	5
4	3	2
4	3	5
4	2	5
1	8	3
4	2	5
1	9	3
4	3	4
4	5	2
1	8	3
4	5	2
3	9	10
4	5	3
4	4	5
4	3	4
4	2	1
4	1	4
4	2	4
1	8	3
4	1	1
2	3	8
1	7	1
2	5	10
4	2	2
3	8	9
2	5	10
4	5	4
2	2	9
4	4	1
4	1	2
4	5	4
2	3	8
4	5	3
3	7	6
4	5	4
4	2	4
4	5	3
4	3	3
4	2	5
4	2	4
4	5	1
4	4	1
4	2	5
1	7	1
1	8	2
2	2	8
4	2	5
3	7	8
4	3	1
4	2	2
4	3	1
4	2	1
2	2	7
4	5	2
4	4	2
4	3	4
4	2	2
4	2	2
2	2	7
4	1	1
4	5	4
4	3	1
4	3	3
4	3	3
1	7	3
4	4	1
4	1	4
4	4	3
4	3	3
4	3	4
4	3	4
3	9	5
4	4	5
4	5	3
4	3	1
4	5	3
4	3	3
4	2	5
1	9	2
4	3	3
4	2	3
4	2	5
2	1	8
3	7	9
4	1	2
2	2	7
4	3	5
4	4	4
4	3	5
4	5	2
1	8	1
4	2	5
4	3	1
4	3	4
4	1	1
4	5	3
3	8	5
