type	width	height
4	5	2
4	1	4
4	2	4
3	9	8
4	2	1
4	5	1
1	7	2
1	7	3
1	8	4
4	5	5
2	1	9
4	3	1
4	4	3
4	3	4
4	5	2
3	7	6
4	3	2
1	7	3
3	10	7
4	3	1
2	2	8
3	5	5
4	5	3
4	3	4
3	7	6
4	2	2
3	8	9
2	1	10
4	5	1
4	2	5
1	9	1
2	2	10
4	2	5
1	8	3
1	6	3
4	2	5
4	2	1
3	10	10
4	1	3
1	9	3
4	4	5
4	3	5
3	8	6
4	1	1
4	1	2
1	6	1
4	4	4
4	1	3
4	5	5
4	3	1
4	5	2
2	2	8
2	1	8
3	8	7
4	1	4
4	5	4
4	5	5
4	4	2
1	8	2
4	2	3
4	5	1
1	6	2
1	9	3
3	7	5
4	2	3
4	1	1
1	6	1
4	4	4
4	2	3
4	3	3
4	1	1
3	7	5
4	1	2
4	3	2
4	1	1
4	2	3
4	3	5
1	8	4
2	1	7
4	4	3
