type	width	height
4	3	5
2	5	7
2	5	9
2	1	7
1	8	2
4	3	4
4	1	4
2	3	10
4	3	3
2	1	7
4	2	1
4	4	4
3	10	10
1	6	3
4	5	4
2	4	7
4	4	4
1	7	1
1	9	1
4	4	4
3	8	9
4	4	5
4	4	4
4	2	4
4	4	3
1	8	2
4	4	1
4	1	4
4	5	5
4	4	3
4	3	1
4	1	3
3	5	10
4	3	5
4	5	4
3	5	6
4	1	4
4	4	5
4	3	5
4	5	3
4	5	5
1	7	2
4	2	5
4	5	2
4	5	1
4	3	3
4	1	2
4	3	2
3	8	8
4	5	4
4	1	5
4	4	2
4	3	1
4	4	2
4	1	2
4	2	5
4	3	2
4	1	5
4	4	1
4	1	3
1	9	1
3	10	10
3	5	6
4	1	3
4	5	4
2	5	8
4	5	5
1	7	1
4	3	4
3	6	5
4	3	2
1	7	2
4	4	3
4	5	5
4	3	3
4	1	5
4	2	5
4	4	3
4	1	1
4	1	2
