type	width	height
4	3	4
4	5	3
3	9	7
4	4	2
4	1	5
4	2	1
2	1	10
1	9	2
1	8	1
4	2	3
4	5	2
2	4	9
4	1	4
4	2	4
1	8	1
4	2	1
1	7	1
4	5	5
4	1	3
4	5	4
3	8	6
4	5	3
4	1	1
4	3	3
4	3	2
4	3	1
2	3	10
4	2	2
4	4	5
2	5	7
2	2	10
4	3	5
1	7	4
4	2	1
2	4	8
3	6	9
4	5	4
4	1	4
4	2	1
3	5	6
4	2	3
4	2	4
1	6	4
3	10	6
4	4	3
4	3	2
1	7	3
4	5	1
1	9	2
4	2	2
1	7	1
4	2	5
1	8	1
2	5	7
4	5	4
3	10	7
4	3	3
1	8	2
3	7	5
1	9	2
4	1	1
3	9	10
4	4	3
3	9	5
4	5	4
4	1	5
4	4	5
4	4	3
4	4	1
4	1	5
3	10	7
3	10	8
4	5	4
4	3	5
4	3	1
4	4	2
4	5	2
4	4	2
4	2	4
4	5	2
