type	width	height
4	3	3
1	8	1
4	2	1
3	9	5
3	6	6
4	4	2
4	4	3
4	4	3
4	1	2
4	2	2
1	9	2
2	1	8
2	2	7
4	5	4
4	1	2
4	1	3
4	5	3
4	5	5
4	5	1
4	2	2
4	1	1
4	2	2
4	4	2
4	2	4
4	4	2
4	2	2
4	4	5
1	9	2
1	8	1
3	10	8
4	2	5
4	4	2
3	8	6
4	4	3
4	5	4
3	9	5
4	3	3
4	1	5
4	1	3
4	4	3
4	4	2
4	4	2
1	8	1
4	1	2
4	4	1
4	1	5
4	5	5
4	3	4
4	1	4
4	4	2
4	4	5
3	6	6
4	1	2
4	5	1
4	1	3
4	2	2
3	6	8
4	5	5
2	2	8
4	4	2
3	10	9
4	2	3
4	3	5
3	8	8
4	4	4
4	3	3
4	3	4
1	8	4
4	1	3
4	2	1
4	4	5
4	5	1
4	4	3
4	3	4
4	1	5
4	1	2
1	9	3
4	3	2
4	5	3
4	3	2
