type	width	height
4	3	3
4	2	1
4	3	3
4	2	3
4	4	4
4	4	5
4	2	5
4	1	3
4	4	2
1	8	4
3	10	10
2	3	8
4	1	1
4	1	5
4	5	5
4	5	1
4	1	4
4	4	4
4	2	2
4	4	5
4	2	4
4	1	1
4	1	3
4	5	1
4	1	3
4	3	5
2	3	8
4	5	1
4	5	1
4	1	3
4	1	4
4	3	1
2	5	6
4	3	5
4	1	5
4	3	5
4	3	4
4	1	1
4	2	2
4	3	2
2	1	9
4	3	5
3	9	8
4	4	4
4	5	1
4	3	2
4	3	4
4	2	2
3	8	7
3	6	6
4	1	3
4	2	1
3	8	9
4	5	3
2	3	9
4	1	5
4	2	5
2	4	8
4	2	1
4	4	5
4	4	3
4	2	1
4	4	5
2	2	9
4	5	2
4	4	2
4	3	4
3	5	9
1	7	1
4	3	4
4	2	1
4	2	4
2	5	8
4	3	5
4	2	2
4	1	1
4	2	4
4	1	5
4	1	4
4	1	4
4	5	1
4	2	1
4	2	2
4	3	2
4	5	3
4	4	2
4	4	1
2	2	7
4	3	4
4	1	5
2	4	8
4	5	1
4	1	3
4	1	5
4	4	1
4	5	4
4	3	5
1	7	2
2	5	8
4	2	2
