type	width	height
4	4	5
2	3	9
2	2	9
2	1	8
4	5	1
1	8	3
4	2	5
4	5	5
4	1	2
3	5	8
3	9	9
4	1	5
4	4	4
4	2	4
4	1	1
1	7	2
4	1	4
4	4	3
2	4	8
4	5	2
4	5	2
4	5	5
4	1	5
4	2	2
2	1	6
4	2	4
4	1	4
2	2	10
4	2	3
4	4	5
4	2	1
3	7	10
3	7	9
4	2	4
4	1	2
4	3	2
4	1	1
4	4	3
2	4	10
4	5	4
4	5	3
2	1	10
4	1	5
4	2	4
4	4	3
4	4	2
4	1	1
4	1	1
4	1	1
1	9	2
2	5	6
4	3	4
3	7	9
4	2	2
4	1	3
4	3	3
4	5	4
4	4	5
4	5	4
1	6	2
2	3	10
4	3	5
3	6	7
1	8	4
4	5	2
4	2	3
1	7	4
4	3	3
1	9	4
4	3	1
2	3	7
4	3	2
3	5	7
4	5	2
4	3	1
4	1	3
4	3	3
4	2	4
4	2	2
4	1	1
4	3	4
4	3	1
1	6	3
4	1	2
4	4	2
4	1	1
4	1	5
4	3	5
4	5	3
4	2	1
1	7	4
4	2	2
4	3	4
4	3	2
4	1	2
4	2	4
4	5	2
3	8	9
1	9	1
4	3	3
4	5	1
3	10	6
4	1	4
1	6	2
4	4	3
3	5	7
4	5	4
4	2	2
4	1	1
4	1	2
4	4	2
1	9	3
4	1	2
4	5	3
4	5	3
2	1	7
4	5	1
1	8	4
4	2	3
2	3	9
2	2	9
4	5	3
4	1	4
4	2	5
4	3	5
2	4	8
3	8	8
4	3	2
1	9	1
4	5	5
1	6	4
1	9	4
4	2	1
4	1	5
3	10	9
4	2	4
3	5	7
4	5	1
4	4	4
4	4	1
2	2	8
4	3	5
4	5	2
3	10	6
1	6	4
4	1	1
4	1	2
1	7	1
4	3	3
4	1	2
