type	width	height
4	3	3
4	4	1
4	3	1
4	1	4
4	2	5
4	3	2
3	5	9
4	2	1
4	5	2
1	7	1
2	5	7
4	5	4
4	5	1
4	4	2
4	4	5
4	2	2
4	1	1
4	4	4
1	7	1
3	8	10
2	5	8
4	4	5
4	4	1
4	3	4
4	3	4
4	1	5
4	1	3
4	5	2
4	3	1
4	1	4
4	3	5
4	2	2
3	9	6
4	3	4
1	8	4
1	7	4
4	4	1
4	5	1
4	4	5
4	3	4
4	3	5
4	3	5
1	9	4
4	5	3
4	4	4
4	5	3
2	2	8
4	3	5
4	5	2
4	1	3
4	2	3
4	5	3
2	4	9
4	3	4
2	1	7
1	6	4
4	1	2
4	3	4
4	1	4
4	4	4
4	4	1
1	9	4
2	5	10
4	4	3
4	2	4
2	2	9
3	7	8
1	9	4
4	2	5
4	4	5
1	9	2
4	4	5
4	2	5
3	10	7
4	5	2
4	3	4
1	8	1
4	1	1
4	2	2
2	4	8
4	4	3
4	1	5
4	1	1
4	3	4
4	5	4
4	5	1
4	3	1
4	5	4
1	8	3
2	3	7
4	1	5
4	5	1
3	7	10
4	2	2
4	3	2
1	6	2
4	3	5
4	4	1
4	2	2
1	8	1
