type	width	height
5	9	8
5	9	5
5	5	9
5	1	7
5	8	1
5	6	3
5	6	3
5	10	4
5	3	6
5	7	7
5	4	3
5	1	3
5	3	10
5	10	9
5	8	9
5	7	1
5	7	10
5	8	8
5	1	1
5	9	10
5	10	2
5	10	6
5	3	3
5	6	2
5	4	9
5	2	1
5	9	9
5	5	8
5	4	9
5	3	4
5	1	7
5	2	4
5	3	6
5	7	4
5	4	3
5	4	4
5	7	7
5	2	6
5	8	2
5	10	3
5	10	1
5	7	3
5	6	3
5	5	2
5	7	8
5	5	10
5	10	5
5	7	7
5	3	6
5	9	7
5	9	10
5	1	3
5	1	5
5	4	7
5	3	5
5	1	2
5	1	1
5	1	5
5	1	6
5	3	4
5	3	1
5	3	5
5	3	3
5	3	8
5	4	1
5	3	3
5	4	5
5	9	10
5	7	10
5	10	2
5	5	6
5	8	9
5	4	1
5	3	6
5	3	3
5	4	6
5	3	3
5	10	10
5	4	6
5	3	6
5	9	4
5	8	5
5	7	9
5	6	8
5	7	1
5	2	10
5	5	5
5	4	7
5	8	4
5	2	5
5	2	7
5	6	5
5	1	5
5	1	10
5	2	6
5	9	2
5	5	7
5	4	5
5	4	10
5	3	5
