type	width	height
5	9	2
5	10	1
5	9	8
5	8	1
5	7	10
5	3	6
5	10	10
5	9	5
5	8	9
5	6	5
5	6	6
5	9	6
5	8	3
5	6	1
5	1	9
5	3	2
5	4	10
5	7	2
5	4	3
5	7	9
5	8	2
5	2	5
5	4	8
5	7	10
5	5	2
5	5	8
5	9	8
5	8	8
5	6	2
5	10	10
5	6	8
5	3	1
5	10	7
5	8	5
5	4	6
5	1	9
5	7	1
5	4	5
5	4	10
5	10	2
5	2	6
5	8	10
5	8	2
5	2	1
5	6	8
5	5	7
5	3	7
5	9	7
5	6	7
5	6	9
5	5	6
5	4	1
5	4	2
5	1	4
5	9	8
5	9	6
5	5	4
5	6	1
5	10	7
5	5	8
5	6	1
5	8	10
5	8	6
5	10	2
5	6	8
5	2	7
5	6	4
5	7	4
5	5	5
5	2	8
5	3	10
5	10	5
5	5	10
5	6	5
5	6	1
5	4	6
5	1	3
5	6	3
5	6	1
5	10	7
