type	width	height
5	7	2
5	8	5
5	4	6
5	3	2
5	6	3
5	1	9
5	7	7
5	9	10
5	3	5
5	1	6
5	10	7
5	10	5
5	9	8
5	3	5
5	1	10
5	4	3
5	5	5
5	10	10
5	5	9
5	3	2
5	9	1
5	7	6
5	7	5
5	6	9
5	1	6
5	2	10
5	3	7
5	1	3
5	3	7
5	1	5
5	2	8
5	8	7
5	4	5
5	1	3
5	10	1
5	1	4
5	6	3
5	1	2
5	2	1
5	2	10
5	2	7
5	5	4
5	3	9
5	7	6
5	7	4
5	2	1
5	6	1
5	5	3
5	9	3
5	2	2
5	5	5
5	4	7
5	9	8
5	8	1
5	10	9
5	1	6
5	10	3
5	1	6
5	2	10
5	6	4
5	2	1
5	1	10
5	5	8
5	1	5
5	5	8
5	4	9
5	7	6
5	8	4
5	3	1
5	4	9
5	10	10
5	9	4
5	4	8
5	9	3
5	7	1
5	1	3
5	9	2
5	4	10
5	3	2
5	4	4
