type	width	height
5	6	8
5	2	3
5	2	2
5	5	5
5	10	5
5	2	3
5	8	2
5	2	7
5	8	9
5	1	10
5	10	5
5	5	2
5	10	9
5	5	4
5	10	8
5	3	3
5	3	8
5	8	6
5	10	9
5	7	4
5	10	1
5	4	7
5	7	6
5	4	10
5	3	5
5	2	5
5	10	4
5	6	7
5	3	2
5	8	5
5	9	1
5	5	6
5	8	3
5	4	8
5	1	2
5	8	5
5	2	9
5	8	7
5	1	5
5	10	10
5	1	7
5	4	10
5	9	3
5	6	8
5	4	6
5	3	7
5	9	6
5	8	7
5	4	2
5	6	9
5	9	7
5	6	9
5	10	2
5	1	5
5	9	2
5	3	5
5	8	5
5	7	7
5	1	7
5	9	4
5	1	3
5	6	6
5	7	2
5	7	8
5	5	9
5	9	5
5	4	6
5	2	8
5	1	5
5	5	8
5	4	1
5	9	10
5	9	2
5	3	2
5	10	4
5	7	3
5	1	8
5	5	6
5	7	7
5	5	4
