type	width	height
5	4	1
5	10	1
5	8	9
5	3	6
5	8	1
5	9	6
5	4	7
5	9	5
5	3	4
5	3	3
5	8	8
5	9	3
5	6	3
5	6	3
5	7	7
5	4	2
5	4	5
5	10	4
5	6	7
5	7	10
5	3	4
5	1	4
5	9	8
5	7	2
5	4	1
5	1	5
5	4	3
5	9	9
5	1	2
5	8	7
5	5	10
5	9	1
5	4	10
5	2	8
5	7	7
5	6	8
5	8	10
5	6	3
5	9	4
5	4	1
5	10	9
5	5	1
5	2	6
5	5	7
5	2	2
5	6	2
5	4	3
5	1	4
5	6	4
5	8	4
5	2	6
5	10	6
5	3	10
5	7	2
5	3	7
5	4	1
5	10	8
5	4	10
5	4	8
5	6	3
5	9	5
5	5	6
5	3	1
5	3	8
5	3	6
5	6	3
5	10	4
5	4	2
5	9	1
5	1	4
5	3	8
5	1	6
5	2	6
5	1	10
5	6	6
5	2	6
5	9	7
5	3	7
5	6	5
5	10	2
