type	width	height
1	9	4
2	3	7
2	3	10
4	1	5
4	3	4
2	1	10
1	8	2
1	7	3
1	9	3
1	9	4
1	8	3
1	8	3
1	8	2
1	6	4
1	8	3
4	3	3
4	2	5
4	5	4
1	7	2
1	6	2
4	2	5
4	4	4
1	9	3
2	2	10
1	7	4
2	1	10
2	3	6
1	6	4
1	8	3
1	9	1
1	7	1
2	4	8
2	5	9
1	6	4
1	9	1
1	9	1
1	7	4
1	9	4
1	7	2
1	8	2
4	4	4
1	7	3
4	4	1
1	9	2
1	9	1
3	10	10
1	9	1
1	7	4
1	7	1
2	3	9
3	6	6
2	3	9
1	8	4
1	7	2
1	9	3
1	6	3
1	8	2
1	7	4
1	8	4
1	7	4
2	1	9
1	7	2
1	8	3
1	9	4
1	7	3
1	8	1
1	7	3
1	6	1
1	7	1
1	8	2
1	8	4
1	8	2
1	8	1
1	7	3
1	9	2
2	1	10
1	9	4
1	6	3
3	6	5
1	6	2
