type	width	height
3	7	6
2	2	9
1	7	1
3	6	8
1	9	2
3	8	7
1	8	3
3	9	5
4	4	5
1	8	1
1	9	4
1	9	3
1	8	2
4	3	4
1	9	3
4	3	3
4	1	4
1	9	4
1	7	3
1	8	3
1	9	4
2	5	10
3	9	6
1	7	3
1	9	4
2	5	7
4	4	2
1	7	3
3	8	7
1	9	1
1	7	4
1	6	4
1	7	3
4	2	3
1	7	2
1	7	3
3	6	10
1	6	1
3	6	10
2	2	9
1	9	2
1	7	1
1	7	1
1	8	2
1	7	1
2	2	8
3	9	6
1	7	1
1	9	2
1	9	4
1	9	4
3	7	10
1	6	2
1	8	4
1	7	1
1	9	4
1	7	1
1	8	4
1	9	2
1	9	2
4	2	5
1	8	2
1	9	4
1	8	3
1	6	3
1	8	1
4	1	4
2	2	7
1	8	2
1	7	4
4	1	3
1	8	2
2	5	10
4	2	1
1	7	4
3	9	7
1	8	1
1	6	2
1	7	4
1	9	3
1	8	1
1	9	4
1	9	1
1	7	3
3	8	9
3	8	9
3	8	5
1	9	2
2	1	8
1	9	1
1	6	2
1	8	4
1	7	4
1	6	3
1	9	2
1	8	4
3	5	7
1	9	3
3	8	6
1	7	3
