type	width	height
1	8	3
1	9	1
1	9	1
1	8	4
2	4	7
1	9	2
4	4	5
1	8	2
1	8	3
3	10	9
1	8	4
1	7	4
1	7	2
4	3	3
1	7	3
1	7	3
1	9	3
2	2	8
2	3	7
1	8	2
1	9	4
1	8	4
1	8	3
4	1	3
1	9	4
1	7	1
1	8	2
1	8	3
1	8	1
1	7	3
1	7	4
1	8	2
3	10	9
1	9	4
3	9	5
1	7	2
1	7	2
1	9	1
1	8	3
1	9	2
1	9	3
4	3	4
1	7	3
1	8	2
1	7	4
3	8	7
1	9	1
1	9	4
1	9	1
1	7	1
1	9	1
1	8	2
1	8	3
1	9	3
2	3	7
3	6	7
1	9	3
3	5	5
4	1	3
1	9	1
1	9	4
1	7	1
2	3	7
1	8	4
1	9	4
2	1	9
1	7	3
1	9	4
1	8	4
1	7	2
4	2	4
1	7	4
1	9	2
3	9	5
1	9	2
1	9	2
1	9	1
2	3	10
1	9	4
4	5	1
3	10	6
1	9	1
2	3	8
1	9	4
1	7	3
4	4	2
1	7	3
1	8	1
3	8	9
2	2	7
1	7	3
1	9	2
1	7	1
1	7	1
1	7	4
1	9	3
1	7	4
1	7	4
2	3	7
1	9	2
