type	width	height
1	8	1
1	9	4
4	4	1
1	7	2
3	7	5
3	6	7
1	7	3
1	8	4
2	4	8
1	8	4
4	3	1
2	5	7
1	8	2
4	2	3
3	9	5
2	2	8
1	9	3
1	7	4
1	9	3
1	7	3
3	6	7
1	9	4
1	7	3
1	9	1
1	9	3
1	9	2
1	6	1
4	4	2
1	6	2
4	1	2
1	9	3
1	8	4
1	8	1
1	9	4
1	9	3
1	7	2
2	1	9
4	2	3
2	5	9
1	9	1
4	2	5
1	8	1
1	7	3
1	6	3
1	6	4
4	1	2
4	2	2
4	3	3
4	2	1
4	2	3
1	8	3
1	9	3
1	8	2
1	7	3
3	9	7
3	8	6
1	7	3
1	8	1
3	6	10
1	9	2
1	7	1
1	6	4
1	7	3
1	7	4
1	9	4
2	2	9
1	9	1
1	8	3
1	8	2
1	9	4
1	9	4
1	9	2
1	9	2
1	7	1
1	8	4
1	7	2
1	8	2
1	6	2
4	5	1
1	7	3
1	8	1
1	8	4
3	6	7
2	5	7
2	5	7
1	9	2
1	9	4
3	8	5
1	8	3
1	7	3
1	8	3
1	8	1
3	8	5
1	9	1
3	6	6
1	9	1
1	7	1
1	8	2
3	8	8
1	8	2
1	8	4
2	4	10
3	7	9
1	9	3
1	7	2
1	8	3
2	5	7
1	9	1
1	9	2
1	9	1
1	8	1
1	9	1
1	9	1
1	7	2
3	5	9
4	1	5
1	6	4
4	2	4
1	7	1
1	7	2
1	9	3
1	9	2
1	8	3
1	8	3
1	9	3
1	9	1
1	8	3
1	9	3
3	5	8
1	7	2
1	7	1
2	5	8
4	4	5
3	9	5
1	9	4
1	8	2
1	9	3
1	8	2
1	9	3
4	1	2
1	8	3
1	7	2
1	9	2
1	9	2
1	9	3
3	5	9
4	1	2
1	9	1
4	1	1
1	8	1
