type	width	height
1	7	1
1	9	2
1	6	4
4	3	3
3	9	8
3	9	8
1	7	3
1	7	4
3	6	9
2	1	7
1	8	4
4	1	3
1	9	4
1	9	1
2	3	7
4	4	3
1	9	3
1	7	3
1	7	2
1	7	2
1	8	3
1	7	1
4	2	3
1	7	2
4	4	4
1	6	4
2	5	7
4	1	3
1	8	4
2	1	9
1	9	3
3	5	5
1	7	4
1	9	3
1	6	4
1	8	1
1	7	4
2	1	7
1	7	4
2	3	9
2	3	7
1	7	3
1	7	1
3	10	5
2	5	9
1	7	4
1	7	3
1	7	2
1	8	4
2	4	10
1	8	2
1	6	4
1	7	1
4	5	5
1	6	4
1	8	2
2	1	8
1	6	3
1	8	2
1	9	2
1	7	2
1	9	2
1	7	4
3	10	6
1	9	4
1	8	4
1	7	1
1	6	2
4	1	1
4	4	5
2	1	8
1	7	1
1	7	4
1	6	4
1	8	2
2	2	7
1	8	1
1	8	4
1	8	1
1	9	4
