type	width	height
1	6	2
3	5	8
1	7	4
1	7	1
4	3	2
1	8	4
1	9	4
4	3	4
1	8	2
1	9	2
1	9	4
2	2	9
1	8	3
1	8	1
4	5	3
1	9	4
2	1	9
1	7	3
4	1	2
1	6	2
3	5	5
1	8	1
1	7	1
1	7	2
1	8	2
1	6	2
1	7	2
1	6	3
1	8	4
1	6	1
1	7	2
1	8	4
1	9	1
1	7	2
1	9	4
2	4	9
3	6	6
1	8	2
1	9	4
1	9	4
4	3	5
1	7	2
1	9	4
1	8	4
1	7	1
1	6	3
2	3	9
1	9	4
1	8	4
1	8	1
2	5	10
1	9	2
1	6	3
1	9	3
1	6	1
1	7	4
2	5	9
1	9	1
1	7	1
1	8	2
1	9	1
1	8	4
1	9	1
2	1	10
1	7	4
1	9	1
3	7	8
1	7	4
1	7	4
4	4	4
1	7	2
1	7	4
1	7	3
1	6	3
1	9	4
1	9	4
1	6	3
3	6	5
1	9	3
4	5	2
4	1	5
2	3	8
1	9	2
1	8	1
1	8	4
1	9	4
3	9	7
1	7	4
2	1	7
1	9	4
4	3	3
1	7	2
1	8	2
1	7	1
1	9	1
1	7	1
1	7	3
1	9	1
1	6	4
1	9	3
