type	width	height
1	9	2
2	2	8
1	8	2
1	9	1
1	8	4
1	9	4
3	5	10
3	7	10
1	8	1
2	3	9
1	8	4
1	8	3
2	1	10
1	9	2
1	7	2
1	7	3
3	9	7
1	8	2
4	4	2
4	2	4
1	9	1
1	7	4
1	8	3
1	8	4
2	1	8
3	5	6
2	3	8
1	9	4
1	7	3
3	7	10
1	8	4
1	9	4
1	8	4
1	9	4
3	9	7
3	6	9
1	6	4
1	9	4
1	6	2
1	7	4
1	8	2
1	7	1
3	10	10
1	9	1
3	6	5
3	6	6
1	9	4
1	8	4
2	4	6
1	8	2
1	7	4
3	5	8
1	7	4
1	7	4
1	9	3
1	9	1
2	3	7
1	7	3
1	9	3
1	8	4
1	7	1
4	4	4
1	7	1
2	2	10
1	8	4
2	3	9
1	9	3
1	8	2
1	9	2
3	7	6
1	7	1
3	6	5
2	2	7
1	9	3
1	9	3
1	7	3
1	7	2
1	8	4
1	9	3
1	9	3
2	1	10
2	4	8
3	8	8
1	8	2
1	9	1
1	9	2
1	9	2
1	7	3
1	7	1
3	8	8
1	6	4
1	9	4
1	6	3
1	8	2
1	7	2
3	7	8
1	9	2
1	8	4
1	6	1
1	9	4
