type	width	height
1	8	4
1	8	3
2	3	8
4	5	5
1	9	2
4	2	3
4	5	2
4	5	3
1	8	3
3	10	9
4	2	4
1	8	3
1	7	4
1	6	4
1	9	1
1	9	1
1	9	3
3	8	5
2	2	8
1	8	2
1	9	3
1	8	4
1	8	2
4	4	3
1	8	2
1	8	2
4	4	2
3	9	7
1	8	2
1	7	4
1	9	1
1	7	3
1	7	3
1	8	4
1	7	1
4	1	2
1	9	4
1	7	2
4	4	5
1	7	4
4	5	5
3	8	7
1	6	3
1	8	3
1	9	4
1	7	3
1	7	1
2	1	9
3	7	5
1	8	4
1	6	2
1	8	1
1	6	1
1	8	3
4	4	1
1	9	4
4	4	4
1	7	2
1	8	1
1	7	3
1	7	2
2	3	7
1	8	1
1	8	3
3	10	10
1	8	1
1	7	3
1	9	1
1	7	4
1	7	3
4	2	1
1	9	3
1	8	4
1	9	3
1	8	3
2	3	7
1	8	4
1	9	3
1	8	1
1	9	2
3	8	10
2	3	8
1	8	3
1	7	3
4	2	3
4	1	4
3	5	9
1	8	3
1	9	3
3	9	9
1	6	2
1	7	1
4	2	1
1	9	4
1	9	1
1	7	4
1	9	1
4	1	1
2	5	10
1	8	4
