type	width	height
3	5	8
4	2	3
1	7	1
1	9	1
1	9	4
1	8	4
1	7	1
1	9	1
1	8	1
1	7	1
1	7	1
3	5	7
3	6	10
4	2	1
1	8	2
4	4	2
1	7	1
1	7	1
4	3	2
4	1	2
1	7	3
2	2	9
1	7	3
1	6	1
1	7	3
3	10	7
1	7	1
3	9	5
4	1	2
1	7	2
1	7	3
1	9	2
2	5	8
1	8	4
3	5	10
4	1	1
1	7	4
1	6	2
1	9	3
4	2	5
1	7	2
1	9	4
1	9	3
1	7	4
1	8	4
4	2	3
1	6	4
1	8	3
4	3	3
3	10	7
1	9	2
1	7	2
2	2	10
1	9	3
1	9	3
1	6	2
1	9	1
1	7	3
1	8	3
1	7	3
1	7	2
1	9	4
3	7	5
1	8	2
1	8	4
1	9	2
1	9	2
1	9	4
1	8	3
1	7	2
1	8	2
1	7	3
2	1	10
1	9	1
1	9	2
1	9	4
1	6	4
1	8	4
4	5	5
1	7	2
