type	width	height
1	8	1
1	7	1
3	6	8
2	2	7
1	9	2
1	9	1
1	7	4
1	6	1
1	8	2
3	8	6
2	2	10
1	7	4
2	1	9
3	7	7
1	7	2
1	7	2
1	8	3
3	9	9
1	9	3
1	9	1
1	9	2
1	9	2
1	6	1
1	7	4
1	8	3
1	7	1
1	9	3
1	6	3
1	7	3
1	7	1
1	9	1
1	6	3
1	7	3
1	9	3
3	9	7
1	7	2
1	9	2
3	10	7
1	9	3
2	4	8
4	5	1
1	9	1
4	3	3
1	7	3
1	8	4
1	9	2
1	9	2
1	8	3
3	10	6
3	7	8
1	8	2
1	6	4
1	9	4
3	7	5
1	7	1
1	9	2
1	7	1
1	7	3
2	4	9
1	8	1
1	9	1
2	3	8
1	9	3
1	8	2
4	4	4
1	8	4
4	3	3
1	7	2
1	9	2
1	7	3
1	7	2
2	2	8
1	7	1
1	9	2
4	5	1
3	10	5
3	9	6
2	1	10
1	9	2
1	9	4
