type	width	height
2	1	8
1	6	1
1	9	2
1	8	4
3	10	7
3	8	8
1	6	3
3	7	9
1	6	1
1	8	2
1	9	1
2	4	10
1	9	1
1	8	4
1	8	3
1	7	4
1	7	3
1	7	1
1	8	1
1	9	2
1	8	4
1	8	3
1	8	1
2	3	6
1	9	4
1	8	4
1	7	1
1	7	3
1	9	2
1	7	1
1	8	2
1	6	2
3	8	9
1	7	2
1	9	4
1	6	2
1	6	3
1	7	1
4	3	2
1	9	4
3	8	8
1	9	4
1	7	3
1	8	4
1	8	4
4	1	4
4	3	2
1	9	4
1	7	3
1	8	4
1	7	1
1	6	4
1	7	4
1	9	2
2	3	10
1	7	4
1	8	1
1	9	3
1	8	3
1	7	1
4	2	2
1	8	3
4	4	3
1	7	3
1	8	1
1	8	2
1	9	2
1	8	2
3	5	8
3	5	5
1	8	2
1	8	2
1	6	2
1	7	1
3	9	9
1	6	1
1	7	3
1	8	2
3	10	6
1	9	3
