type	width	height
1	6	4
1	9	4
4	1	5
1	9	5
3	8	5
1	6	3
1	7	4
1	10	3
1	10	3
1	6	2
1	9	3
1	8	3
1	8	3
1	7	2
1	10	3
1	7	4
1	9	5
1	9	4
1	8	3
4	5	3
4	1	1
3	10	5
2	1	10
1	9	2
1	7	4
1	9	4
3	9	6
4	4	3
3	9	9
1	10	5
1	9	2
1	7	2
1	7	4
1	8	3
1	8	2
1	9	4
1	7	5
1	10	3
1	7	2
1	9	4
1	8	3
1	10	5
1	9	2
1	9	4
1	9	3
2	2	7
1	9	4
1	10	4
1	9	4
1	8	5
4	1	3
3	7	5
1	6	4
1	7	4
1	10	5
3	8	7
1	7	2
1	8	5
1	9	2
1	9	3
1	7	5
1	9	5
1	6	5
1	8	5
3	9	6
1	6	2
1	9	2
2	5	9
1	8	3
1	7	4
3	7	10
2	3	10
4	3	1
1	7	5
3	5	8
4	2	4
1	8	4
1	7	2
4	5	5
4	4	1
2	2	9
1	10	2
1	10	2
1	10	2
1	6	5
2	2	7
1	10	4
1	9	3
3	10	6
1	9	3
1	6	3
1	8	4
1	9	5
1	7	4
1	9	3
1	7	5
3	5	10
1	8	4
1	10	2
1	9	3
1	7	3
1	7	3
1	7	4
1	7	3
1	8	3
1	6	5
1	6	2
4	5	2
1	7	3
3	7	6
1	10	4
1	8	2
4	2	4
3	5	7
1	6	4
4	5	1
1	8	2
3	5	7
1	7	3
1	6	5
1	10	5
4	5	4
3	8	9
1	9	5
1	10	4
1	7	4
1	8	2
1	8	3
1	7	3
1	8	2
1	7	4
1	10	2
1	10	3
1	8	3
4	4	1
3	8	7
1	6	5
1	10	2
1	9	2
1	6	5
1	8	4
1	8	3
1	10	3
1	8	2
1	7	3
1	10	5
1	8	2
1	10	2
4	2	1
1	8	5
1	9	3
4	4	2
3	10	7
1	8	5
1	6	5
1	10	5
1	10	2
3	5	7
1	6	4
1	8	4
1	9	2
1	9	3
1	10	2
1	9	3
1	8	3
1	10	3
1	10	3
1	10	3
1	8	2
1	9	3
1	10	4
1	10	3
1	9	2
1	10	3
1	9	3
1	9	3
3	7	10
3	7	10
1	7	3
1	8	2
2	3	7
3	5	5
1	9	2
4	1	3
2	4	8
1	9	4
4	3	2
1	9	5
1	8	2
1	6	2
1	8	2
1	8	3
1	7	4
1	6	4
4	4	1
2	1	10
4	4	2
1	7	4
1	7	2
2	3	8
