type	width	height
1	8	3
1	7	3
1	7	3
1	9	4
2	1	6
1	7	2
4	4	3
4	2	1
1	8	2
1	8	4
4	4	1
1	9	1
3	8	8
4	3	1
1	8	1
2	5	8
1	7	4
1	8	1
1	8	3
1	8	2
1	7	3
1	8	4
1	9	3
1	8	3
3	7	10
1	7	3
1	8	1
1	7	2
1	8	1
1	9	1
1	7	2
3	8	8
3	5	8
1	8	2
1	6	4
1	9	3
1	8	4
2	5	9
1	8	2
1	9	3
3	9	9
2	1	10
4	2	5
2	5	10
1	8	4
1	9	3
2	2	8
1	9	3
1	8	3
1	8	3
1	7	3
1	7	4
1	8	3
2	1	7
1	6	3
1	9	3
4	5	4
1	7	3
4	1	1
1	9	3
1	8	3
2	5	9
2	2	9
4	5	3
1	9	3
1	8	4
1	9	2
1	7	3
1	7	4
1	7	1
4	1	4
1	8	2
1	7	1
1	9	1
1	9	4
1	9	1
4	5	5
3	9	10
1	8	2
1	8	2
1	7	1
1	7	1
1	6	2
4	2	2
1	8	1
2	2	7
1	8	1
3	9	6
1	8	3
1	7	3
4	5	5
1	8	2
1	9	1
1	9	3
1	8	3
1	7	4
1	7	4
1	7	2
1	9	3
2	4	9
1	6	3
3	6	8
2	5	8
1	7	2
1	8	4
1	9	2
1	7	2
1	9	3
1	9	3
1	9	2
1	8	3
1	7	2
3	8	9
4	1	3
3	8	10
1	6	1
1	9	2
2	1	8
1	8	3
2	2	7
1	9	1
1	8	2
1	8	4
1	8	2
1	7	4
2	5	7
1	9	4
1	9	1
1	9	4
1	9	1
1	9	2
1	9	2
2	2	9
1	8	3
1	8	3
3	9	9
1	9	2
4	5	5
1	7	1
1	9	4
1	8	1
2	4	6
1	8	2
1	9	2
1	8	2
1	6	4
3	8	6
1	6	2
1	8	2
3	5	9
