type	width	height
1	9	3
1	7	1
1	7	1
2	5	9
3	6	10
1	9	1
1	6	3
1	7	3
1	7	2
1	8	1
1	6	2
1	8	2
1	7	4
1	6	4
1	9	1
1	8	3
1	7	1
1	7	4
4	1	5
1	9	2
1	7	3
1	8	3
3	9	9
2	3	8
1	9	2
1	7	4
1	8	3
1	7	4
1	7	3
1	7	1
1	7	1
1	7	1
1	6	4
1	7	3
1	9	3
1	9	4
1	9	2
1	9	2
1	8	3
1	7	3
1	8	4
1	7	3
4	4	3
1	9	2
1	9	2
1	9	4
1	6	2
3	6	5
1	7	3
1	9	4
2	1	7
2	4	9
2	1	8
1	7	1
1	9	4
1	8	1
2	4	6
1	7	2
1	9	2
1	8	4
4	3	1
1	7	1
4	3	5
2	3	8
4	2	1
3	8	10
1	9	4
1	9	1
1	9	4
1	7	2
1	7	4
1	6	4
1	7	4
1	7	2
1	9	2
3	10	10
1	7	3
1	8	2
1	8	4
1	8	1
