type	width	height
3	10	10
1	7	1
1	7	2
1	7	1
1	8	4
4	4	5
1	9	4
1	6	2
2	3	10
1	8	1
1	6	4
1	9	4
1	7	2
4	5	5
1	7	2
1	7	2
1	8	3
1	8	3
3	7	9
1	8	1
2	4	9
1	8	3
3	6	10
1	6	2
1	7	2
1	6	1
1	8	2
1	9	3
1	9	1
1	8	2
1	9	2
2	3	9
1	9	4
1	9	1
1	8	3
2	3	9
4	1	4
1	9	1
2	5	7
4	4	2
1	7	2
1	8	1
1	8	2
1	9	1
3	10	8
1	8	3
3	8	9
1	9	3
1	8	3
3	6	9
1	6	2
4	1	4
1	9	2
3	9	6
1	7	1
2	4	10
4	2	4
4	1	5
1	9	4
1	6	1
1	9	2
1	8	1
1	8	1
3	8	7
4	5	5
2	4	7
1	8	2
1	8	2
1	9	3
2	4	10
1	8	4
2	1	8
2	4	7
1	9	2
1	7	1
1	9	4
1	7	2
4	4	1
1	9	1
3	6	10
4	2	2
4	5	1
3	10	10
1	9	2
1	7	1
4	4	2
1	6	1
1	8	2
1	9	1
1	6	3
1	8	4
4	5	5
1	9	2
1	9	2
1	7	1
4	4	2
1	8	4
4	2	5
1	7	3
1	8	4
