type	width	height
3	9	7
4	3	1
3	8	5
3	10	10
3	10	6
3	8	7
3	7	6
1	7	4
3	6	5
1	9	3
3	8	7
4	2	3
3	7	8
4	5	3
1	8	4
3	9	10
3	6	10
3	10	9
3	8	6
4	3	4
3	9	10
3	5	9
1	6	3
3	5	7
1	8	2
3	9	8
3	9	5
3	7	7
3	6	5
3	10	6
3	10	10
3	7	8
3	7	10
3	6	10
3	10	8
3	7	10
3	7	6
3	8	8
3	5	9
4	3	5
2	5	10
3	6	10
2	4	7
3	6	10
3	10	9
3	5	10
3	6	8
2	5	7
3	10	7
3	6	10
3	8	5
3	10	6
2	2	9
3	7	7
3	9	5
3	9	8
3	10	9
3	10	10
3	5	10
3	8	9
2	4	10
3	9	8
4	3	2
3	10	8
3	7	5
2	5	9
4	2	5
3	5	8
3	6	10
3	6	9
4	3	2
2	1	9
1	7	1
3	5	8
3	10	8
1	8	1
3	9	7
3	10	6
2	4	8
3	10	8
3	5	7
3	7	6
4	3	4
3	7	9
3	10	8
3	5	8
3	8	8
3	7	8
2	5	6
1	7	2
3	10	10
3	10	6
3	5	9
3	6	7
3	10	8
3	6	9
3	7	6
4	2	3
3	6	7
3	5	8
