type	width	height
3	7	7
3	5	7
3	8	7
3	10	6
3	7	6
4	5	5
3	9	5
3	10	5
3	9	8
3	5	5
3	10	6
3	5	10
3	9	6
1	8	4
3	6	8
1	8	3
3	7	7
3	5	10
3	8	6
3	10	6
3	7	6
3	8	8
4	3	3
3	7	9
3	8	10
3	6	5
3	5	8
3	8	5
3	6	10
1	8	4
3	6	5
4	1	4
4	4	3
3	5	7
3	5	10
1	9	4
2	3	9
2	5	7
3	6	7
3	10	6
3	10	10
3	6	8
3	7	7
3	5	7
3	6	7
3	5	10
3	9	7
3	8	10
3	6	8
3	9	6
2	2	9
1	9	4
3	7	10
3	7	5
3	9	5
2	2	8
3	10	5
3	10	10
3	7	10
3	5	9
3	7	10
4	5	2
3	5	9
3	7	6
3	7	10
2	5	9
3	8	6
1	8	3
3	10	10
3	9	5
3	9	7
4	5	2
3	9	8
3	6	6
3	9	8
1	8	3
3	8	9
3	9	8
3	9	5
3	5	10
2	2	6
3	7	10
3	7	5
1	8	3
3	10	8
3	6	8
3	6	6
3	8	9
4	3	2
3	5	7
3	5	9
1	8	4
1	8	1
4	3	4
3	7	5
4	4	1
2	1	6
4	3	3
3	7	8
3	8	6
