type	width	height
4	2	3
3	5	5
3	5	10
3	7	9
1	8	1
1	8	4
3	5	8
2	5	10
3	10	9
1	7	4
3	7	8
3	7	10
1	9	3
3	7	10
3	10	10
3	8	7
3	7	6
3	8	5
3	10	9
3	5	9
3	9	10
2	2	10
3	5	9
4	2	5
3	8	10
3	7	10
3	6	9
2	5	10
4	3	3
3	6	7
3	6	9
3	6	9
3	9	5
3	8	5
3	5	6
3	8	5
3	5	6
3	6	6
3	7	8
3	9	10
4	3	2
3	8	9
3	7	9
2	5	9
3	10	7
3	7	8
1	7	3
3	6	6
2	4	10
3	6	10
3	7	10
3	9	9
4	5	3
3	8	6
3	6	6
2	3	8
2	2	9
1	9	2
3	7	9
3	5	6
3	7	7
3	7	5
3	6	9
1	9	4
4	5	4
4	4	5
3	8	6
3	10	7
4	4	2
3	10	7
3	8	5
3	10	9
4	4	4
3	5	6
3	10	9
3	8	6
3	9	5
3	9	8
3	9	5
3	9	6
