type	width	height
3	8	9
3	9	6
1	9	4
2	1	7
3	10	7
3	9	5
3	10	8
1	6	4
3	5	10
3	8	7
3	10	8
3	9	5
3	9	10
4	4	1
3	9	5
3	8	9
2	3	9
3	10	5
3	10	10
3	5	10
3	8	6
2	4	6
3	7	5
3	8	8
3	5	10
3	9	7
3	10	8
1	8	2
2	1	7
1	9	4
3	6	10
2	3	9
3	7	6
3	5	5
3	6	7
3	9	9
3	10	9
1	7	3
1	6	2
3	8	8
1	6	3
3	9	8
3	10	6
2	5	6
3	6	7
3	7	5
3	5	7
3	10	8
3	5	6
3	8	10
3	10	8
3	10	7
3	6	6
3	6	9
1	8	3
2	4	9
3	6	10
3	5	8
3	6	6
4	2	2
3	8	7
3	5	9
3	10	7
3	8	8
1	8	3
3	9	9
3	10	9
3	6	10
4	5	2
3	9	10
3	7	5
3	8	9
3	7	8
3	9	5
3	8	5
3	10	8
3	8	6
3	8	7
4	2	1
1	7	3
4	3	3
3	8	10
3	6	6
3	8	8
3	7	8
3	10	5
3	7	8
3	9	6
3	5	5
2	4	9
3	6	9
3	6	10
4	3	3
4	3	2
3	10	8
3	6	5
2	3	9
3	7	9
3	9	6
3	9	9
