type	width	height
3	7	8
3	7	5
3	9	5
3	8	8
1	8	3
2	3	8
3	7	8
2	4	7
3	7	8
3	5	6
2	5	9
3	10	6
2	5	9
3	10	8
2	1	8
3	9	8
2	2	7
4	1	3
3	10	10
3	10	8
3	9	10
3	6	8
4	4	2
3	5	10
2	1	8
3	8	6
4	2	4
3	5	7
3	9	8
3	5	10
3	9	10
3	10	5
4	5	1
4	4	1
3	9	10
3	9	5
4	4	4
2	2	9
3	9	9
3	8	6
3	10	6
3	7	8
3	7	6
3	8	5
2	1	9
4	1	1
3	6	7
3	5	9
3	9	6
3	8	8
3	6	6
3	5	10
2	1	9
2	4	7
3	5	5
3	8	5
3	10	6
2	3	10
3	10	6
3	6	9
3	6	6
2	1	9
3	10	9
2	3	9
1	7	4
3	5	7
1	6	2
3	8	8
3	7	6
3	5	10
3	5	5
1	9	1
3	7	6
3	6	7
3	10	8
3	7	7
3	7	7
1	9	1
3	8	6
3	10	9
3	9	10
1	9	1
4	5	4
4	3	4
3	8	8
3	6	10
3	10	9
3	6	6
3	9	9
1	8	4
2	2	9
3	5	7
3	5	6
3	5	7
3	10	7
3	8	6
3	8	8
3	10	8
4	5	1
3	7	8
