type	width	height
2	2	8
3	8	10
3	9	6
1	8	3
3	8	8
3	10	9
3	7	5
3	6	7
2	1	7
3	5	8
3	8	9
4	2	4
3	9	7
3	5	5
3	7	8
3	5	7
3	6	5
3	9	5
3	7	6
1	8	1
3	6	7
2	4	6
2	5	10
2	4	10
3	9	6
2	3	9
1	8	1
3	7	10
3	7	7
3	8	7
3	10	7
3	7	8
3	10	10
4	1	4
3	10	10
2	4	10
3	5	6
3	10	5
3	9	5
3	9	5
3	6	9
3	9	6
4	4	4
4	5	1
2	5	7
3	5	8
3	5	10
3	7	7
3	6	10
3	9	5
3	7	7
3	10	7
3	5	10
3	10	9
3	5	10
3	8	7
2	1	7
3	8	6
3	7	5
3	7	10
2	2	6
3	9	10
2	1	10
3	6	5
1	8	3
1	7	1
3	7	8
1	7	4
3	10	7
3	8	9
3	7	10
2	4	9
3	9	6
2	3	9
4	3	1
3	9	8
3	6	6
4	2	2
2	5	9
3	6	6
