type	width	height
3	10	8
3	10	8
3	9	5
1	7	2
1	9	3
2	4	9
3	9	9
3	6	8
2	5	10
3	6	5
4	4	4
3	9	5
3	7	8
3	10	5
4	5	5
3	7	10
4	5	5
1	9	1
3	5	8
3	10	5
4	3	2
3	9	5
2	3	7
3	10	5
1	9	1
1	9	3
2	1	7
3	8	10
3	5	6
3	9	8
2	4	7
3	6	8
3	10	6
4	4	4
3	9	5
4	2	5
4	1	5
3	8	9
4	1	5
1	9	3
3	8	8
3	6	7
2	1	7
3	8	7
1	7	4
3	9	8
3	10	8
4	1	4
3	6	9
3	6	5
1	9	1
3	8	6
3	6	6
4	1	3
1	9	2
3	5	8
3	5	8
1	9	3
2	3	9
1	9	2
2	5	7
3	8	10
3	6	6
3	5	8
2	2	9
3	8	10
3	8	6
3	10	8
3	6	5
3	10	6
3	6	9
3	6	7
1	8	4
3	8	6
3	9	7
3	9	9
3	8	9
3	6	8
3	9	8
2	1	9
