type	width	height
3	7	8
3	10	5
1	9	2
3	6	5
1	7	2
3	8	10
3	6	10
3	10	7
1	9	2
1	8	3
3	10	6
3	6	8
4	5	5
3	5	7
3	7	5
3	8	8
3	8	5
3	6	10
3	6	5
3	8	6
3	6	10
3	10	7
3	5	6
1	7	2
3	10	8
3	9	6
1	7	3
4	4	5
3	10	10
1	9	4
1	9	3
3	6	6
3	7	9
3	5	9
3	9	7
3	5	6
3	6	6
3	9	5
3	9	7
3	6	6
2	2	10
3	10	9
3	8	5
3	7	9
2	2	9
3	10	10
3	10	5
3	6	5
3	5	10
3	5	9
3	7	7
3	7	5
2	2	7
1	9	1
2	2	10
4	1	4
3	8	9
3	10	8
3	9	9
3	8	5
3	6	9
3	9	8
3	6	10
1	9	4
3	10	8
3	8	9
3	7	8
1	8	3
3	9	6
3	7	9
3	5	5
3	10	7
4	4	1
1	8	4
3	6	8
4	5	2
3	9	6
4	4	5
1	8	4
3	8	6
3	7	10
4	2	1
3	8	9
3	6	7
3	10	6
1	9	2
1	8	1
3	9	6
1	9	1
1	9	2
3	6	7
2	5	7
3	5	5
3	7	10
1	8	2
4	3	4
3	9	9
2	3	8
3	8	8
4	2	2
